107561|M|DK Thurah A'bunadh|BEN n 24|22-02-2005|FD LO 132958|151987|144102
107562|F|DK Thurah Afrodite|OSH b 24|02-11-1994|FD RX 10211|51006|124094
107563|F|DK Thurah Aïda|OSH n 25|02-11-1994|FD RX 10210|51006|124094
107564|F|DK Thurah Allt-A-Bhainne|BEN n 22|22-02-2005|FD LO 132956|151987|144102
107565|M|DK Thurah Apollon|OSH n 25|02-11-1994|FD RX 10208|51006|124094
107566|M|DK Thurah Ardbeg|BEN n 22|22-02-2005|FD LO 132957|151987|144102
107567|F|DK Thurah Astarte|OSH b 24|02-11-1994|FD RX 10212|51006|124094
107568|M|DK Thurah Attilla|OSH n 24|02-11-1994|FD RX 10209|51006|124094
107569|F|DK Thurah Auchentoshan|BEN n 22|22-02-2005|FD LO 132955|151987|144102
107570|F|DK Thurah Bell Butterfly|OSH n 22|30-12-1995|FD RX 10921|177005|124094
107571|M|DK Thurah Bernoulli Butterfly|OSH n 22|30-12-1995|FD RX 10924|177005|124094
107572|F|DK Thurah Binoche Butterfly|OSH n 22|30-12-1995|FD RX 10922|177005|124094
107573|M|DK Thurah Brillouin Butterfly|OSH n 22|30-12-1995|FD RX 10923|177005|124094
107574|F|DK Thurah Brown Butterfly|OSH b 22|30-12-1995|FD RX 10920|177005|124094
107575|M|DK Thurah Carlos|OSH n 24|17-01-1996|FD RX 11080|50885|107563
107576|M|DK Thurah Carnivorous Cougar|OSH b 25|17-01-1996|FD RX 11077|50885|107563
107577|M|DK Thurah Catbury's Choc-Chips|OSH b 24|17-01-1996|FD RX 11082|50885|107563
107578|F|DK Thurah Clear Crystal Carbon|OSH ns 24|17-01-1996|FD RX 11078|50885|107563
107579|F|DK Thurah Columba|OSH bs|17-01-1996|FD RX 11081|50885|107563
107580|M|DK Thurah Cryogenic Chameleon|OSH bs 24|17-01-1996|FD RX 11079|50885|107563
107581|F|DK Thurah Cryptogram|OSH n 24|17-01-1996|FD RX 11083|50885|107563
107582|F|DK Thurah Cumulunimbus|OSH ns|17-01-1996|FD RX 11084|50885|107563
107583|F|DK Thurah Darmasakrapravartana|OSH n 22|19-06-1997|FD RX 12191|107580|107572
107584|M|DK Thurah Dilbert|OSH ns 24|19-06-1997|FD RX 12194|107580|107572
107585|F|DK Thurah Disque D'Argent|OSH ns 22|19-06-1997|FD RX 12192|107580|107572
107586|M|DK Thurah Dryo|OSH bs 24|19-06-1997|FD RX 12193|107580|107572
107587|M|DK Thurah Ebony Endeavour|OSH n|23-06-1997|FD RX 12196|107580|39570
107588|F|DK Thurah Eventually Elanor|OSH n 24|23-06-1997|FD RX 12195|107580|39570
107589|M|DK Thurah Federico Fellini|OSH b 24|30-09-1997|FD RX 12448|113903|107563
107590|M|DK Thurah Flash Gordon|OSH n 25|30-09-1997|FD RX 12447|113903|107563
107591|F|DK Thurah Gentle Gelignite|OSH n 24|06-07-1998|FD RX 12920|107584|39570
107592|F|DK Thurah Hafnia|OSH n 24|05-11-1998|FD RX 13245|107584|107588
107593|M|DK Thurah Herluf Horatio|OSH x ns 11|05-11-1998|FD RX 13247|107584|107588
107594|M|DK Thurah Hg|OSH ns 24|05-11-1998|FD RX 13246|107584|107588
107595|F|DK Thurah Indium|OSH ns 23|07-11-1998|FD RX 13248|107584|107563
107596|M|DK Thurah Iridium|OSH bs|07-11-1998|FD RX 13251|107584|107563
107597|F|DK Thurah Ix|OSH n 24|07-11-1998|FD RX 13249|107584|107563
107598|M|DK Thurah Ixolite|OSH n 25|07-11-1998|FD RX 13250|107584|107563
107599|F|DK Thurah Jade|OSH ns|05-02-1999|FD RX 13371|113903|107585
107600|M|DK Thurah Java Bean|OSH b 24|05-02-1999|FD RX 13369|113903|107585
107601|M|DK Thurah Juvenile Delinquent|OSH bs 24|05-02-1999|FD RX 13370|113903|107585
107602|F|DK Thurah Kaempferi Nari-Hera|SIA x ns 21|05-06-2001|FD RX 110882|107601|107572
107603|M|DK Thurah Lagavulin|SIA b 21|13-02-2002|FD RX 113827|133381|107585
107604|F|DK Thurah Marabou Milk'n'Honey|OSH b|15-02-2002|FD RX 113829|133381|107563
107605|M|DK Thurah Mischievous Marauder|OSH n 23|15-02-2002|FD RX 113828|133381|107563
107606|F|DK Thurah Mo Mhuirnin|OSH n 25|15-02-2002|FD RX 113830|133381|107563
107607|F|DK Thurah Nanocat|OSH f|14-05-2002|FD RX 115992|17986|170095
107608|M|DK Thurah Naolin|OSH d|14-05-2002|FD RX 115991|17986|170095
107609|F|DK Thurah Nascha|OSH f|14-05-2002|SVERAK LO 187383|17986|170095
107610|M|DK Thurah Nemo|OSH d|14-05-2002|FD RX 115990|17986|170095
107611|F|DK Thurah Nimeesha|OSH f|14-05-2002|FD LO 115994|17986|170095
107612|F|DK Thurah Ninja|OSH n|14-05-2002|FD RX 115996|17986|170095
107613|F|DK Thurah Nonstop|OSH f|14-05-2002|FD RX 115993|17986|170095
107614|F|DK Thurah Olivia Origo|OSH n 22|16-07-2002|FD RX 116430|50859|107585
107615|F|DK Thurah Oona Origo|OSH os 22|16-07-2002|FD LO 116432|50859|107585
107616|F|DK Thurah Origami Origo|OSH ns 22|16-07-2002|FD LO 116431|50859|107585
107617|M|DK Thurah Panter|OSH n|12-04-2003|FD LO 121029|182236|170095
107618|F|DK Thurah Patches|OSH f|12-04-2003|FD LO 121030|182236|170095
107619|M|DK Thurah Q-T-3.1416|OSH b|12-08-2003|FD LO 123676|123634|107606
107620|F|DK Thurah Querida|OSH n 25|12-08-2003|FD LO 123677|123634|107606
107621|M|DK Thurah Quick|OSH n|12-08-2003|FD LO 123675|123634|107606
107622|M|DK Thurah Raving Luna-Tick|OSH bs 22|08-09-2003|SVERAK LO 203859|133381|107585
107623|F|DK Thurah Regina Luna|SIA n 21|08-09-2003|FD LO 124025|133381|107585
107624|F|DK Thurah Rhinestone Luna-Tick|OSH b 22|08-09-2003|FD LO 124024|133381|107585
107625|M|DK Thurah Schrödinger|SIA n 21|25-04-2004|FD LO 127030|50877|112026
107626|M|DK Thurah Schubert|OSH c|25-04-2004|FD LO 127028|50877|112026
107627|F|DK Thurah Shulamith|OSH n|25-04-2004|FD LO 127026|50877|112026
107628|M|DK Thurah Sochin|OSH n 24|25-04-2004|FD LO 127029|50877|112026
107629|F|DK Thurah Sophie|OSH n 24|25-04-2004|FD LO 127027|50877|112026
107630|F|DK Thurah Tilte Tornado|SIA x ns 21|15-06-2004|FD RX 129719|140372|107616
107631|M|DK Thurah Ultraviolet|OSH c 24|17-09-2004|FD LO 129720|107622|112026
107632|M|DK Thurah Unexpected Bonus|OSH a 24|17-09-2004|FD LO 129721|107622|112026
107633|F|DK Thurah Unity|OSH a 24|17-09-2004|FD LO 129723|107622|112026
107634|M|DK Thurah Upon request of Feles Grata|OSH as 24|17-09-2004|FD LO 129722|107622|112026
107635|F|DK Thurah Utopia|OSH n|17-09-2004|FD LO 129724|107622|112026
107636|F|DK Thurah Valmai Vanessa|OSH os 22|10-03-2005|(FI)SRK RX 30943|140372|170081
107637|M|DK Thurah Valrhona|OSH b|10-03-2005|FD LO 133084|140372|170081
107638|M|DK Thurah Velcro|OSH ns|10-03-2005|FD LO 133083|140372|170081
107639|M|DK Thurah Volapük|OSH n 25|10-03-2005|FD LO 133085|140372|170081
107640|F|DK Thurah Waltzing Wynne|OSH bs|08-01-2006|FD LO 138793|107622|170081
107641|F|DK Thurah Whirlpool Wanda|OSH x ns 11|08-01-2006|FD RX 138791|107622|170081
107642|F|DK Thurah Whizzing Whirligig|OSH ns 22|08-01-2006|FD LO 138790|107622|170081
107643|F|DK Thurah Wotcha Whirlwind|OSH n 22|08-01-2006|FD LO 138792|107622|170081
